chirp_mass,mass_ratio,dec,ra,time_jitter,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,V1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
5.9597770460731425,0.9549182323727176,-0.1782807499563552,5.719677475457648,-7.759577161503301e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9940850916450397,1415188782.888561,610.8725427624643,50.28086143059228,4.1613270885658045,100.0,IMRPhenomXP,20.0,13.696342835165705,7.006094990756836,6.690247844408868,54.395562735915924,-0.018671025894532456,(11.859532392469234-0.5315909601448529j),11.472393573761353,(-0.6740666777654557-0.016041677204503224j),2.3280722586982723,0.2498670511188474,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1263275472901689,542.3578100915547,6.220299776572808,5.939877667473316,5.291335598078701,12.160177444046123
5.936557608107844,0.7118527806920424,1.4567046460963113,2.8667105996572477,0.00024330605231413273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.068596516475911,1415188782.9187107,658.9669105218647,50.35452896653469,2.0043806427941817,100.0,IMRPhenomXP,20.0,13.87587152727232,8.10576217988955,5.770109347382768,54.618416374986374,-0.03353597548453191,(11.84471849226632+1.0535342570666357j),11.561079372771305,(0.3440561736681657-1.7468205169736215j),3.2754215038049974,0.2429166932596628,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.13548283598423527,580.340706487936,7.138603881108854,5.081635023026344,5.228223113528653,12.2202389041352
5.96922289549258,0.9694419249429809,-0.49846720681170437,5.388256184811539,0.00010697486715225552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.168934231815622,1415188782.882975,997.7585589065396,50.5514907712474,4.047555611137106,100.0,IMRPhenomXP,20.0,13.7156543599624,6.964233972199762,6.751420387762639,51.00322423701485,-0.018485478212344697,(11.488595754889197-1.2864517491637033j),9.26118197379039,(0.7049945972599998+1.5911225876255097j),1.3375825587155652,0.24993981259242176,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1975755360382108,833.1487486966702,5.815277418941493,5.637573735096091,4.984422874267967,11.452851154037583
5.956001610642074,0.9249173455572495,0.10808765422874748,1.7287331849594867,-0.00014217092308090363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.068732272674324,1415188782.9187977,662.2588774073402,51.45341763067331,4.17145112699632,100.0,IMRPhenomXP,20.0,13.695804725875453,7.115009253506736,6.580795472368718,54.76719908480644,-0.029350512386010552,(11.66712992214521+2.339899023948519j),11.388838769070935,(-0.2657954746437646+0.623610616818211j),2.474999978254446,0.24961963979490154,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1361061087534051,582.9199131221254,6.262627406619348,5.792412717144449,5.24246948832738,12.055040123763797
5.953003998854557,0.7550567838944466,-0.2659440425556107,2.8184160777466483,8.486614342394271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.254299158500322,1415188782.9072747,417.39527740391185,51.527603031401,4.141516005725925,100.0,IMRPhenomXP,20.0,13.838780241133824,7.885089740757996,5.953690500375829,52.121935543729904,-0.0026550860988476775,(11.774612585061034+0.9444449378244202j),11.150800925769198,(-0.2744267706035991+0.22821696659423082j),0.8381304293868098,0.245130453744073,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08848960259742761,383.4628052275809,7.244065282701885,5.4696806346783005,5.469049942828206,12.713745917380184
5.953076854810066,0.8872261022752749,-0.5572113311226834,2.73567749768632,0.00015733579826177773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3140737447089705,1415188782.9030175,439.3197643966827,51.610577687182754,4.0132935155218465,100.0,IMRPhenomXP,20.0,13.70596519944249,7.262492386534037,6.443472812908452,53.511196576964714,-0.009939257708998867,(11.92184519342841+0.023459287303615812j),11.350054272523344,(0.04834147625769635+0.25031179797061864j),1.9989930192333936,0.24910729221696135,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09286397184769302,401.98942732388264,6.645376344738881,5.895951352494991,5.447225828796666,12.541327697233873
5.960892828582075,0.9403274848180954,-0.7364826157771741,6.1435883048608995,0.00011043251394281896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63821071988069,1415188782.8873572,744.0175448683788,51.82054547999918,3.8773276223588344,100.0,IMRPhenomXP,20.0,13.702312820588347,7.061855757752631,6.640457062835717,54.2511517397617,-0.05400439557619596,(11.84534053646281-0.01847267252279656j),10.082569336297176,(0.8973898557589536+1.0178150117221036j),2.9325671308720347,0.24976355037754594,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15145146798746736,646.156233637603,6.133003391011781,5.767031653050958,5.1768511259972225,11.900035044062738
5.919465543281097,0.6022808678494156,-0.7121180114263611,5.485036347298325,0.00021705101658285754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.969823605744007,1415188782.8821445,768.6516037244246,51.921688161218114,3.8988850126533405,100.0,IMRPhenomXP,20.0,14.12828453651003,8.817607961251538,5.310676575258492,53.60798187474524,-0.021345685663500258,(11.531034624398576+2.608666353435055j),12.169106403156288,(-0.21412601541897924-0.13985403140036132j),1.7818061884604717,0.23459663236773365,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15602600923901924,664.9085663491744,7.627516933685541,4.593907518356241,5.120529725086135,12.221424452041783
5.915693259335104,0.5894740971135652,-0.3685140109315762,2.8340619728843497,-0.00014353138528517238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1438248950735925,1415188782.9051719,360.6221588742408,52.01247851987125,4.107807801272116,100.0,IMRPhenomXP,20.0,14.165468970053139,8.912047699158597,5.253421270894541,51.74342815153548,-0.00013037903844490342,(11.736715711955103+0.2036572780648987j),12.674789447268692,(0.7381975158373216-0.030527710598854972j),0.8419985791052277,0.23332314207533525,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07705089830132329,334.82369231547415,8.27449075360717,4.877597966057131,5.492491829926581,13.152088719664302
5.9200225754290505,0.5660455909171276,0.6657595352380427,1.7423137828038526,0.000167485873817854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.900409568206931,1415188782.9230094,776.0737594846973,52.52811790515469,3.9370751804030517,100.0,IMRPhenomXP,20.0,14.26848283402422,9.111154181448912,5.157328652575307,52.36522899328877,-0.0022093403516437425,(11.613587856468365+0.14193945392328658j),12.45941795108948,(0.7171839638771139-0.9017305479906681j),0.3352398042159155,0.23080361652848289,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15739998901980318,670.5320264813107,7.8720876688145704,4.455960516245577,5.114932289262151,12.328048185060148
5.94890394890569,0.9138736909127152,0.2674146129701425,6.049983805211626,-0.0002417925798951571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3209266988649606,1415188782.899143,406.37118608742577,52.59859330460249,4.141114265831333,100.0,IMRPhenomXP,20.0,13.683625475076443,7.149701435391383,6.53392403968506,52.3568631349524,0.0007185285394430939,(11.820752730342528-0.680884078202429j),10.256755307444285,(0.7250344873961717-1.3859969294701238j),0.39814088199032976,0.24949372656954383,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08628116137582578,374.09392750717035,6.58181480965384,6.014947393002323,5.476394289459209,12.596762202656164
5.9387463709248225,0.7081488227212737,-0.36893451761598023,2.8944118590815107,0.00017030667976535593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.394647976990984,1415188782.904645,354.3173949750017,52.86250832748996,4.107645319070951,100.0,IMRPhenomXP,20.0,13.88835799790623,8.130648695925984,5.7577093019802446,52.84411585153099,-0.0018138961775627143,(11.702523887303029-2.817135307264138j),12.301800428087079,(0.10534068956161725-0.35809073649124695j),0.5107533341602173,0.24270187166907603,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07577041689251739,329.36153306219984,7.557977583555671,5.3521729279487245,5.52045889873004,12.910150511504396
5.953235489149506,0.8677518578902672,-0.6469821585846938,5.635415793393378,-9.551637478050036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.032744931165521,1415188782.8836462,830.6520278368416,52.970108326449015,3.9515401851700744,100.0,IMRPhenomXP,20.0,13.718250951260725,7.344793096207264,6.373457855053461,56.08860476595302,-0.026507572142624614,(11.895437641995454+1.2910673413736624j),10.796166757378746,(-0.48966252319670733-0.5664717120423881j),1.916010515022257,0.24874662561855596,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16744346915134187,711.5137071602907,6.2913479669781935,5.459328886979483,5.099377954015311,11.750676853957676
