chirp_mass,mass_ratio,a_1,a_2,dec,ra,theta_jn,psi,time_jitter,tilt_1,tilt_2,phi_12,phi_jl,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,V1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
6.004823840353956,0.5058704546213003,0.0803272591320132,0.36074397000221053,0.7230698776958436,0.4167866696063358,0.6685934088841213,1.2811765828572956,4.626182912993818e-05,0.0,0.0,0.0,0.0,3.319365471801144,1415188782.9148002,513.9790363326614,45.18400315558364,2.019511113272725,100.0,IMRPhenomXP,20.0,14.77140538911834,9.80921389604731,4.962191493071029,48.59898366393359,-0.013808233431046146,(11.162522499432866-2.8768326490004497j),9.027557898091853,(0.20734128695119916+0.5300685839271068j),2.3230399245538256,0.22308177441051963,0.6685934088841213,0,0,0.0803272591320132,0,0,0.36074397000221053,0.0,0.0,0.17452827660731146,0.0,0.0,0.0,1.0,1.0,0.10758890342729252,464.05217132123465,8.856367074186053,4.480174438111614,5.4215276279608755,13.33654151229767
6.0388914054549945,0.6022229563726689,0.16361579973946463,0.17730477626089836,-0.17111397243113557,4.200589225019965,1.7767301292691349,1.2156892125165935,0.0001593258769600104,0.0,0.0,0.0,0.0,0.07745974513746824,1415188782.8919241,316.02895270523754,48.7591664490016,2.749646084161112,100.0,IMRPhenomXP,20.0,14.41353065059784,8.99595814257284,5.417572508024999,48.74285038178675,-0.0029455129049573772,(11.608500814293947-0.44897825889979726j),10.450571092074714,(0.8377880375182302-0.5756441167388611j),1.4514355065434272,0.2345910324667834,1.7767301292691349,0,0,0.16361579973946463,0,0,0.17730477626089836,0.0,0.0,0.1687610361609408,0.0,0.0,0.0,1.0,1.0,0.06794887206662406,295.9214245261886,8.423585040325438,5.072876286241373,5.654663405158087,13.496461326566811
6.037543534439792,0.6049338511089972,0.1629925743027247,0.17068907407390113,1.3112201383950552,3.989975775286138,1.8994093426168002,2.8292831275611277,0.0001293123593967975,0.0,0.0,0.0,0.0,4.697911622571798,1415188782.917132,335.80306083285905,48.83679048355878,1.3707597757090388,100.0,IMRPhenomXP,20.0,14.400716722709443,8.972778979494175,5.427937743215269,49.71326888145302,-0.007674908184322232,(11.648253639822743-0.21137713499074054j),10.32524789179708,(1.481649364659065+0.8298230659364889j),3.2309041325950933,0.23485164856577578,1.8994093426168002,0,0,0.1629925743027247,0,0,0.17068907407390113,0.0,0.0,0.16589354946965765,0.0,0.0,0.0,1.0,1.0,0.07199810469651209,313.24967836732594,8.370144443524378,5.063383712559776,5.632046836639744,13.433528156084153
5.9157987748821395,0.5003757525317012,0.012139901927888917,0.0617651257225529,-1.0500065882715983,5.0031214846434535,2.01864170129151,1.7582256772255442,-6.679439298983486e-05,0.0,0.0,0.0,0.0,3.6213009095338866,1415188782.8814209,481.67714291283664,49.05333334167237,1.9838597185507716,100.0,IMRPhenomXP,20.0,14.583967360081123,9.720209977715554,4.863757382365571,49.687268067087864,-0.003989409380579692,(11.598585175177242+0.8238726236034245j),9.719112278796686,(0.3172149467651219-0.2185761883411174j),1.294927687902849,0.22227784744735168,2.01864170129151,0,0,0.012139901927888917,0,0,0.0617651257225529,0.0,0.0,0.028689928585484088,0.0,0.0,0.0,1.0,1.0,0.1012498568914371,437.391332457288,8.826525530866686,4.416579354747691,5.371895158816196,13.243104885614377
6.0290716848316075,0.8215351640930523,0.055436823184606035,0.21224910386201845,1.2944305728239665,0.5579325294053691,1.5200897581384987,1.0773145163179247,-0.00024114828086583547,0.0,0.0,0.0,0.0,3.3950039154390113,1415188782.9201334,366.0650543414247,49.542379493461844,1.4856355805470898,100.0,IMRPhenomXP,20.0,13.931562407004098,7.648253342361723,6.283309064642374,50.693501137134284,-0.0038091369913698103,(11.640174626339617-0.8392235333630218j),9.918416186082524,(0.8443741213554196-0.15312937658538478j),2.2166163802636687,0.24760022677457202,1.5200897581384987,0,0,0.055436823184606035,0,0,0.21224910386201845,0.0,0.0,0.1261611250139737,0.0,0.0,0.0,1.0,1.0,0.07815466946934807,339.52925608693744,7.09383686676985,5.827836434391113,5.59202854243448,12.921673301160963
6.020717337214359,0.8250248064498038,0.16446646499225695,0.005167952230324942,-0.44611595143486965,5.626597860429737,0.25506447452287945,2.1800350304174736,0.00022164344913638064,0.0,0.0,0.0,0.0,4.23430102873758,1415188782.8860087,805.3601027003268,49.59383040124872,1.3056115856520218,100.0,IMRPhenomXP,20.0,13.90882876497169,7.621172444241099,6.287656320730591,53.103651794333594,-0.021065704047639022,(11.728397068581309+0.296568764991079j),10.287684813271898,(-0.6662798599249296+0.4173688670682373j),1.9127726370647122,0.24770197139683417,0.25506447452287945,0,0,0.16446646499225695,0,0,0.005167952230324942,0.0,0.0,0.09245362210119824,0.0,0.0,0.0,1.0,1.0,0.16280225402868534,692.6028086423751,6.554143163927072,5.407330695263237,5.177765450965348,11.96147385919031
5.984059536457194,0.8794871639597108,0.07888973649996717,0.000577602118383136,0.604569905307046,2.211718703304589,2.519299414776995,0.254832204831809,-6.237055455801275e-07,0.0,0.0,0.0,0.0,0.48401502001699337,1415188782.923697,681.4193980188873,49.64177232082163,2.0508675219791144,100.0,IMRPhenomXP,20.0,13.781784011998898,7.332736438041631,6.449047573957266,51.08862933988066,-0.00748496487237818,(11.544291278050927+0.2647239483240644j),11.495335597919865,(-0.2578810329054916-0.8028128858463845j),1.4788576294760096,0.24897215436862813,2.519299414776995,0,0,0.07888973649996717,0,0,0.000577602118383136,0.0,0.0,0.04224435881843727,0.0,0.0,0.0,1.0,1.0,0.13972535657636617,597.8803495845572,6.433774940366793,5.658422475858248,5.250439943209457,12.09219741622504
6.017249934008509,0.9925128997841903,0.15079008553670525,0.035959849684201205,-0.7074361829022934,5.0354791168906905,1.552204717008442,0.10156060554974412,0.0001541615578581493,0.0,0.0,0.0,0.0,0.11800714373506944,1415188782.8828447,193.0188110757915,49.73091836365008,2.5111445792901668,100.0,IMRPhenomXP,20.0,13.824127317328047,6.938036546124917,6.88609077120313,50.489795052448855,-0.001753377267885479,(11.729715924319933-2.110963361585718j),12.424077658795177,(-0.15972562518496647+1.7752755663775315j),0.914306231692522,0.24999647007874212,1.552204717008442,0,0,0.15079008553670525,0,0,0.035959849684201205,0.0,0.0,0.09359071162990873,0.0,0.0,0.0,1.0,1.0,0.04226264761279746,185.19210220881973,6.656706504848681,6.606867076139647,5.773256815631303,13.263573580988329
5.995539032925862,0.6635405975793337,0.001600306796183823,0.23584973797047862,-0.5585052608549975,4.174181524913157,1.8076510162781376,1.1970124019049901,-1.0170200835884618e-05,0.0,0.0,0.0,0.0,2.9677012204606985,1415188782.887519,326.6775486903547,49.763167725663855,2.5925798458322564,100.0,IMRPhenomXP,20.0,14.123678392833625,8.49013147823708,5.633546914596544,49.78037115267602,-0.0005161649889813269,(11.645460465018674+0.9439234586233397j),12.403546849978522,(0.5723063957848764+0.2345625962773631j),1.3025176343217495,0.23977322881321783,1.8076510162781376,0,0,0.001600306796183823,0,0,0.23584973797047862,0.0,0.0,0.09503596311270963,0.0,0.0,0.0,1.0,1.0,0.07013205471135067,305.2684442357105,7.933723170760588,5.2643474137554875,5.602616057083772,13.198070584516076
6.024228950359056,0.8636163066808977,0.19167586885527507,0.0028166160215798044,-0.7713863364361324,4.198394500050354,1.393206133592555,2.7446401321591347,0.00015111321551698574,0.0,0.0,0.0,0.0,4.794619323027607,1415188782.8863962,397.46371916346004,49.93393112108771,2.4371050267634686,100.0,IMRPhenomXP,20.0,13.884708634528332,7.450411645762539,6.4342969887657935,52.781116064559285,-0.003111893718386785,(11.741031706020117-1.7071246821168387j),10.85937384296341,(-1.8343618021119623+0.7544554255798546j),1.096305715616782,0.2486610884155587,1.393206133592555,0,0,0.19167586885527507,0,0,0.0028166160215798044,0.0,0.0,0.10415681794868879,0.0,0.0,0.0,1.0,1.0,0.08449232261253878,366.49749458123614,6.869953332462991,5.933003724051814,5.55488390719697,12.802957056514805
