chirp_mass,mass_ratio,a_1,a_2,dec,ra,theta_jn,psi,time_jitter,tilt_1,tilt_2,phi_12,phi_jl,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,V1_log_likelihood,L1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
3.243749098299312,0.8664822588705885,0.27466746476115195,0.7631620059909423,0.9507792804850588,3.741102387827165,1.0080890058641365,1.2575753059083936,-0.00018682049664185826,0.0,0.0,0.0,0.0,4.691361883729823,1260808298.3589623,4774.766779297457,-0.4596696788508503,2.075338013119066,100.0,IMRPhenomXP,20.0,7.475153048763853,4.00494192389864,3.470211124865214,-0.024788881445478417,-0.000771310638045905,0.032162409541310666,(0.6475500328707947+0.24645365798511634j),0.9325147950859813,(0.49869153025536656-0.8079812424727019j),0.09394010683001626,(0.463633938800489-0.4710190684644422j),0.914320515234401,0.24872070639560795,1.0080890058641365,0,0,0.27466746476115195,0,0,0.7631620059909423,0.0,0.0,0.501442646533768,0.0,0.0,0.0,1.0,1.0,0.7507037371706934,2727.3414088214367,2.2876183096353087,1.9821806803665198,1.8528258262254722,4.269798990001828
5.461481164428964,0.9809973782308978,0.2054237069095356,0.4967431642701338,-0.5480683080493622,0.4005072694676241,2.827717075323988,1.5069718128146372,0.00021544613841271624,0.0,0.0,0.0,0.0,3.7822609804306384,1260808298.3177378,4715.5382642565,-0.3757356998025281,1.4521099772171553,100.0,IMRPhenomXP,20.0,12.54788162858307,6.334123288839878,6.213758339743192,-0.00014355939352639346,0.0025252758381556634,-0.20798907042155768,(1.0663935855777964+0.23121170999803056j),1.272528548765076,(0.7329123723539078+0.411082235760416j),0.10175795935938868,(0.4059284160357761+0.38184462077074405j),1.2850728809727978,0.24997699621735223,2.827717075323988,0,0,0.2054237069095356,0,0,0.4967431642701338,0.0,0.0,0.34968620167043724,0.0,0.0,0.0,1.0,1.0,0.7430828883956302,2705.286300500936,3.6338623544574733,3.564809442574739,3.1332308984203414,7.198671797032213
4.193669352108427,0.8301499130001642,0.6200231815550691,0.7938799455316625,0.46722294159369043,1.850000395065742,2.8183846354128974,0.8500663600439375,-0.00011991217899408638,0.0,0.0,0.0,0.0,0.8483840884756979,1260808298.3291817,4574.175611250641,-0.28805335097416007,1.5254158573480314,100.0,IMRPhenomXP,20.0,9.68465754309594,5.291729095142749,4.3929284479531905,0.06367524958235049,-0.0010068471463502704,0.15396047227860787,(-0.6392982102980758-0.3325484181350565j),0.8077979899485267,(-0.5800631935655078+2.527870381875334j),0.15680191911562055,(0.6645128431431696-0.775912077836101j),1.170511920149753,0.24784673131290755,2.8183846354128974,0,0,0.6200231815550691,0,0,0.7938799455316625,0.0,0.0,0.6988840314037373,0.0,0.0,0.0,1.0,1.0,0.724810158136515,2651.987851068267,3.068006684782013,2.5469054824557102,2.431380249197551,5.614912167237724
5.911577890580027,0.5037772444928332,0.12680650327836843,0.7155270639268786,0.678740053910599,5.67891111079936,0.3987214411029736,0.5454829706410327,-7.741631500831963e-05,0.0,0.0,0.0,0.0,0.8461223811932926,1260808298.3733263,4599.258403420106,-0.2802277579678192,1.5890229309600983,100.0,IMRPhenomXP,20.0,14.553937268415613,9.678253425974736,4.875683842440876,0.10740576496637733,-0.029891394931667703,0.37375422024525173,(2.1064503493456765-0.687436339116247j),0.7426381599268569,(1.165879929371424-0.5264856227869222j),0.6198553850146673,(1.7469259613179624+1.120071080078626j),0.9208977361538698,0.22277760424894,0.3987214411029736,0,0,0.12680650327836843,0,0,0.7155270639268786,0.0,0.0,0.32403253719126274,0.0,0.0,0.0,1.0,1.0,0.72806116590743,2661.513670054936,5.600642857391304,2.8214764260850593,3.4209309295344137,8.422119283476365
2.733057594793811,0.7812015335930621,0.029184060311091997,0.22009113720550647,0.6402625944064134,3.855827746731209,1.1972299265653146,0.6330150773665413,4.18084015091154e-05,0.0,0.0,0.0,0.0,1.6688619241648324,1260808298.3257158,4430.582557903185,-0.20339839698950613,2.493529302368615,100.0,IMRPhenomXP,20.0,6.336458633425566,3.557406904228059,2.779051729197507,0.016891947914906336,-0.0006958424206347999,0.019626603455505487,(1.2261404433406313-1.0186810686265018j),0.6406863020041828,(-0.3025727730790884-0.6661845400205786j),0.06933774033219231,(-0.11055802386293455-0.3398092690696347j),0.6847717740308756,0.24622773290636008,1.1972299265653146,0,0,0.029184060311091997,0,0,0.22009113720550647,0.0,0.0,0.11291231813649619,0.0,0.0,0.0,1.0,1.0,0.7061240674621679,2596.8700905098444,2.0850810161301134,1.6288684874666248,1.6019102285211828,3.713949503596738
5.560647872198212,0.7215947206298232,0.43943801229155116,0.12806616844073426,-0.00854570759422726,1.8711735616191736,0.40711327492377064,1.4559305478306173,0.00011914221163461682,0.0,0.0,0.0,0.0,3.691250787364177,1260808298.3823807,3607.941973019663,-0.1720962933009218,1.8592359384370027,100.0,IMRPhenomXP,20.0,12.979754929136265,7.539378910495142,5.440376018641123,0.02145875105052364,-0.0008907191128052494,-0.10109634756646146,(-0.9580320260272439-1.1839670841501104j),0.41848690806478805,(-0.22184950466861428-2.0816597280916156j),0.301652125762533,(0.1606907973713425-0.7721277641037164j),1.2924576758482806,0.24346217792399996,0.40711327492377064,0,0,0.43943801229155116,0,0,0.12806616844073426,0.0,0.0,0.3089286212117938,0.0,0.0,0.0,1.0,1.0,0.5963443901163017,2260.12755938831,4.72290249972054,3.4080215098477367,3.48336355652748,8.130924009568277
3.8320039292233172,0.6732064773457751,0.26430865107211654,0.542663608774541,-0.017974318679425103,3.4848178432623356,1.8235937135646612,0.576578185009484,-0.00013515266605808454,0.0,0.0,0.0,0.0,3.257665468675204,1260808298.4289052,3816.4535030162865,-0.16532445996969258,2.753252985627708,100.0,IMRPhenomXP,20.0,9.011486133053074,5.3857585749656485,3.625727558087426,0.013314636140867586,-0.0031907900659867428,0.02255282016371063,(1.058485208106611-0.09021646525051566j),0.7178757476307264,(0.3478573125501236+0.1778235492906855j),0.20305774101211074,(0.6472558927360363+0.7773244616551906j),0.6598520910233985,0.24046352633041035,1.8235937135646612,0,0,0.26430865107211654,0,0,0.542663608774541,0.0,0.0,0.3763034126653424,0.0,0.0,0.0,1.0,1.0,0.6246459068724682,2349.0986596379257,3.3150353268876454,2.231703254690832,2.358670226548093,5.546738581578477
2.8721485142744663,0.8268457053243387,0.18503641127775117,0.1811252935972573,-0.24935389620530052,3.1705131998710985,2.260111248496503,0.41812878377104706,0.00010932217869793212,0.0,0.0,0.0,0.0,5.312991393834095,1260808298.382978,3963.646989476162,-0.15404742471653332,2.495114902133257,100.0,IMRPhenomXP,20.0,6.634289977132408,3.6315546287224922,3.002735348409916,-0.015860345673094467,0.003917985372560662,0.027718719750382537,(-0.3383614563416866-2.0324372521990464j),0.5593720089319965,(1.2568001391081558+1.0143915897902014j),0.2991967765222054,(-0.6409686558683017+1.0627476570549803j),0.6061817947813496,0.2477540359168987,2.260111248496503,0,0,0.18503641127775117,0,0,0.1811252935972573,0.0,0.0,0.18326620657589304,0.0,0.0,0.0,1.0,1.0,0.6444200304102136,2410.361659521278,2.2084106016493683,1.8260148215665188,1.7466027299351163,4.034425423215887
2.5521157390752194,0.806487679194396,0.0949415444332237,0.2812100364383885,0.02914627539053465,4.5890764639972215,1.8849591912696708,2.973242501338973,7.874280265042792e-05,0.0,0.0,0.0,0.0,6.2787437395301255,1260808298.3949459,4194.545387069244,-0.07003465378344709,2.735106271346159,100.0,IMRPhenomXP,20.0,5.9039643759061535,3.2682007433004077,2.635763632605746,0.0016920667867819095,-0.0018357853308650328,-0.0012322741425687678,(0.8721257632376013+0.842994265463712j),0.39730958474278294,(-1.4012861735475692-0.1954130942745321j),0.06686415651323238,(-0.06722917408512341+0.9001377227247401j),0.6945908812842445,0.24713128605954007,1.8849591912696708,0,0,0.0949415444332237,0,0,0.2812100364383885,0.0,0.0,0.1780991798571627,0.0,0.0,0.0,1.0,1.0,0.6751194531796297,2504.0276047212515,1.9510254848374358,1.573478015315665,1.5235425355671908,3.524503500153101
5.457263717900808,0.7824287439589053,0.23535012910783604,0.6281206693186898,1.0514141598219142,2.003572487602948,2.084057486057125,0.8483098571875247,0.00023124830671100352,0.0,0.0,0.0,0.0,5.913968153535486,1260808298.4707923,1745.9911715609367,-0.066865026309193,1.9472841749246692,100.0,IMRPhenomXP,20.0,12.650936497069221,7.097583305894496,5.5533531911747245,0.0549039990482294,0.014177157177823196,-0.004098247842196923,(2.5701756696269067-1.0304398020202357j),1.5408694845522823,(1.768403920433765-0.8798142137995287j),0.6183392649989564,(1.8778072559310155-0.19884201775984808j),1.4020141765637282,0.2462750650549059,2.084057486057125,0,0,0.23535012910783604,0,0,0.6281206693186898,0.0,0.0,0.4077637313249266,0.0,0.0,0.0,1.0,1.0,0.32331666990795843,1319.4054042038435,5.36348061449884,4.196541400450265,4.123928793461342,9.560022014949105
