chirp_mass,mass_ratio,dec,ra,time_jitter,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,L1_log_likelihood,V1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
17.783864581669153,0.9801962608916965,-0.9489480815295651,0.9650281559952102,-0.00010676597559330236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0497102651678154,1421382272.1075053,3275.879086657954,0.06150266435867646,2.9437966782910214,100.0,IMRPhenomXP,20.0,40.85904401248995,20.633835554305527,20.225208458184426,0.2810632618736886,0.16119019511296218,0.09358131897796129,(1.4018799045472927-0.5197157659391728j),1.0480013892653828,(1.5655765322757464+1.3400728723283277j),0.5411591934834952,(2.59388880650538-1.4351422079568728j),1.8597753061785924,0.24997499551413385,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5505130531144063,2112.7710600527066,13.3077470794972,13.044203928215552,11.469664538423562,26.351951007712753
18.971628907880266,0.5721337942817007,-1.3886732734077611,0.7512323620168497,-0.00011621956669686688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0864776152870785,1421382272.0444329,3344.965690554669,0.08092912036180522,1.7755498645108752,100.0,IMRPhenomXP,20.0,45.64502659459644,29.033805367342413,16.611221227254024,1.355065228287046,2.558077981957636,0.03799016147806045,(3.2992924219449344+1.6203623502070998j),3.113011471870122,(0.2664571347940343+0.07580301674792991j),2.609463949838414,(0.5116608613243525-0.7976727415813285j),1.706055635140244,0.23148272937507214,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5601297382157504,2144.030474632374,18.60986599777725,10.647333244382306,12.160289265158971,29.257199242159555
12.411156369955803,0.7701760207843606,0.5551533290766962,1.304624271651848,-0.00021988513830314125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.499226366839663,1421382272.0913026,4508.677286059352,0.15373976711650794,3.3214256800946567,100.0,IMRPhenomXP,20.0,28.80567097375004,16.272772106011423,12.532898867738618,-0.051020376422528546,1.421847312975089,0.009584110900346832,(1.7768700443848735+0.2838236644738333j),2.725749811258884,(3.416040958687254+1.1763513751154673j),2.8735146558975257,(0.5880985444903197-1.8706288359490617j),0.3857327061527447,0.24578596846219178,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7163026672309474,2626.970968796644,9.481295121603248,7.30226614863856,7.231333148237627,16.783561270241808
16.394738992599663,0.9774097387250548,-1.0537689877127843,4.327318339007457,0.0001699473660928471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.385930887690445,1421382272.050541,4883.092554755012,2.3066777500800395,2.779540555075913,100.0,IMRPhenomXP,20.0,37.668169180009066,19.049248338533932,18.618920841475134,1.7399813027128044,1.3570028909840373,-0.02308111803153101,(2.963699824455665+1.2469709767741304j),3.196962614390177,(3.3325311086524496-0.8971452800436729j),2.926271981593586,(0.40259634123054666+0.2761797642401614j),0.49709016326150657,0.24996737209575612,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7645897728120639,2767.26784610069,10.795284338623873,10.551416044877035,9.29096339852003,21.34670038350091
16.26758258006053,0.6276318374107026,-0.5097050765964332,4.221911209521802,-0.00021940332630620126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42959333345540995,1421382272.0503328,4474.710659181801,3.382802786104926,3.348209311465909,100.0,IMRPhenomXP,20.0,38.59823556208133,23.714352763881074,14.883882798200252,1.5689236580926975,1.3997195202946653,-0.007491252968259754,(2.9082460855910566-1.1734486932534574j),3.319410538563503,(3.8243387844513443+0.9140293484334069j),3.2593925444573055,(1.1223437229158246-1.5550498472111518j),0.34308673816869983,0.2369150297477477,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7118802952179358,2613.9156304338917,13.852810170270727,8.694464700468684,9.502757070984067,22.54727487073941
16.58935713256979,0.7048306689226134,-1.2541943608165413,4.981399139241665,7.598651370798143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8654531504534977,1421382272.052465,4512.592186996505,3.5253703165427073,2.317284593796372,100.0,IMRPhenomXP,20.0,38.814695207562835,22.767478269318215,16.04721693824462,1.6566875514581794,1.5774827286373698,0.07215198650464494,(2.9345114672029444-0.7919187277198871j),3.042844633622032,(3.8585985862618184+0.5922251049951532j),2.8747726080982057,(0.6864027394843502-0.391656337164511j),0.9285632238245125,0.2425058915806768,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7168119133464936,2628.4720749070075,13.261486649949168,9.347102506391979,9.66288561001013,22.608589156341147
16.91409703735882,0.7604635199281538,-0.5179136622435087,4.232298042237649,7.652307864434603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3678114391830935,1421382272.0502949,4743.7780968280085,3.651573735324469,3.343576592164604,100.0,IMRPhenomXP,20.0,39.29653182267064,22.32169617708089,16.97483564558975,1.9293170623360636,2.181813690201982,-0.005578431879888046,(2.949447627171272-0.4062913083227255j),3.2938946219714467,(3.809827481412523+1.7234514843999236j),3.2407123075408775,(1.6643763674307326-1.2617223589299265j),0.3349592130214341,0.24537161715423456,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.7467190143058193,2715.8221118016377,12.779214054615403,9.718126101888165,9.68335313168891,22.497340156503565
13.504229255543336,0.6263681574689833,0.6204299494075497,5.133848727920464,4.219391215120488e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813892095185112,1421382272.0627534,2124.7854816828217,4.943705822146337,3.2779055021694434,100.0,IMRPhenomXP,20.0,32.05048711873927,19.70678469788628,12.343702420852985,0.37546120542804395,1.1812867927361053,0.01898250203350549,(2.3415452406682538-1.9204394404716192j),3.1686839018551307,(4.310357049320316-0.9229633995709433j),3.814245756057907,(0.5854438661958595-2.1218090662551887j),0.8632206955614441,0.23680558783197253,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3825965373237538,1536.8080546837189,14.253460185884776,8.92791359419016,9.767295730165088,23.18137378007494
17.61680918476644,0.5221100830454587,-0.21966139416081126,6.111405135283827,-0.0002249204143604497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.428651794755071,1421382272.0586195,2307.4628171856234,4.959184394647627,3.4598347149105946,100.0,IMRPhenomXP,20.0,43.07301551920038,28.29822625773512,14.774789261465264,0.7787795534505904,2.665387750128157,0.03687126564031451,(4.120779530754338-1.179380255183058j),2.8696833667716017,(4.4370844744711295+1.3972660386047002j),3.8048623011647504,(-0.24960473338578326-0.11813576329581808j),2.260476028053391,0.22535643026219104,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4103643555515098,1636.0756856964153,20.064479186776783,10.475866894471904,12.490963143972502,30.54034608124869
14.139208625462928,0.80216920040003,0.809822465488652,0.13466488108984823,0.0001742102688771746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1614448510124378,1421382272.0772526,2364.935553861301,5.202489479067387,3.112552431168889,100.0,IMRPhenomXP,20.0,32.72051937103146,18.156186091610287,14.56433327942117,0.819096131910948,1.4869875776212496,0.0008933467469611767,(4.060401818560575-1.157827692765884j),4.660208329315317,(3.545963811109917+0.7414822462261184j),2.8222338850306246,(0.7872809341270924-0.34041082979918463j),1.0799539860881373,0.24698743313528573,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.41900095119345154,1666.6201413006993,12.795048570150723,10.263793880597351,9.96419954022662,23.058842450748074
