chirp_mass,mass_ratio,dec,ra,time_jitter,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,phase,geocent_time,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,L1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
30.059385662078675,0.6583201272288515,-1.1155037573381694,1.252195019028235,0.00016446865526584058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.758259756128611,1126259462.4144094,448.366692794816,256.3188158519602,2.4001870393623843,100.0,IMRPhenomXP,20.0,70.87937293679865,42.74167078659424,28.137702150204404,171.22412277753455,75.06535644850631,(19.349167349785922-1.8291615923387807j),18.974448675145993,(13.34195893973339+1.9067867811931833j),13.906017609928062,0.2393869048370679,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09466222750616063,409.5936450564774,39.04553360169148,25.704460648383932,27.459964276432025,64.74999425007542
29.871098708917458,0.5351777079584877,-0.39813073562031526,2.7231553025168735,-5.149000975020673e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6437465292259511,1126259462.407771,521.7045806046083,256.8567259166467,3.1403517972289814,100.0,IMRPhenomXP,20.0,72.70140005040291,47.35699305266932,25.344406997733593,171.87102112286738,74.58181211797866,(19.440384175049694+1.2764394178160812j),20.49693684524248,(13.018559704655345+3.308113339951511j),10.939594337742127,0.22708095098055536,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10909798792891995,470.38637418901544,42.698655635559895,22.85136865594771,26.93278595221096,65.5500242915076
30.680091587883652,0.5494378735429586,-1.0903561921002594,2.236231629215923,0.00014612195981129417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3253033973636965,1126259462.407377,552.6329568643083,257.40279578458563,2.449969050891883,100.0,IMRPhenomXP,20.0,74.3215052675542,47.96675396710807,26.35475130044613,171.5759446006749,74.817369764738,(19.43114793329182+0.1406960062583543j),20.32640014185619,(13.18541299170785+0.3549549529460656j),12.464324994146986,0.22886019195412105,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1151129399968716,495.58474267721556,43.01515321599859,23.634154313122817,27.512990377431837,66.64930752912142
31.083218012646583,0.9770229188844979,-0.018789115167846954,2.607935761596476,-1.749738160338054e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8880450802362763,1126259462.4141588,483.789635267421,257.74221450470577,3.2216160364772453,100.0,IMRPhenomXP,20.0,71.4162707707759,36.12313751581157,35.29313325496433,174.73743457322573,76.46285380210523,(19.21215717007568-3.2109647601033884j),18.842368588307785,(13.325127140170254+0.05167480278965732j),12.829372805819085,0.249966231924076,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10166588286695873,439.1437048606731,32.7895581388118,32.03614980171485,28.214741416659,64.82570794052664
31.015450439922194,0.6107916701373689,-0.8451747016498998,2.6134831035942994,0.00011533204522681161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.900503257476459,1126259462.4055238,610.342601112908,258.0331852238306,2.8117177466424845,100.0,IMRPhenomXP,20.0,73.87363675059169,45.86169528942977,28.01194146116191,172.92412640518432,75.1568601397,(19.405776993623334+1.8956627355336193j),20.346694690500357,(13.256617777867492+2.2509515408665335j),10.94729475465666,0.23540428039972525,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12622614325469364,541.9360971932114,40.721568722329195,24.87239497052509,27.539274084235245,65.59396369285429
31.400889666855136,0.6982946375512855,-1.1367575369115641,1.4477806580253632,9.713167702051173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.218182872795901,1126259462.4124007,509.791483033657,258.30498497914334,2.3555733498829454,100.0,IMRPhenomXP,20.0,73.54182020155042,43.303334165612114,30.23848603593831,172.94494080039274,75.07910008713831,(19.433892883205942+1.0975612164586834j),18.749590655970177,(13.175973301293707+2.202520924328537j),13.308503295406293,0.2421099457252642,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.10676979986012958,460.612031747691,39.12587258080647,27.321387012692036,28.37165386227876,66.44725959349852
31.123796114675528,0.6401397336243628,-0.5509990151812336,2.7214198149602717,-6.957367659015247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7381807020030849,1126259462.4062872,549.0973796588501,258.72693523233863,3.061626068638506,100.0,IMRPhenomXP,20.0,73.6520281756875,44.905947137157675,28.746081038529834,173.17860681265995,75.1071479524621,(19.199904433431538-3.5317765117146j),21.942146409181884,(13.560937009452841-0.3593152827648342j),11.32503660761661,0.23796499976315683,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11442746497103763,492.71702187540546,40.29508294496736,25.794483662763014,27.928059109243495,66.08956660773038
31.93013897537986,0.8590545374249551,-0.3471139413441544,2.6826890699826658,-0.00018733378749062103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670981707043232,1126259462.4085557,552.3922737220571,258.77776302369614,3.1602983864116814,100.0,IMRPhenomXP,20.0,73.61035695256692,39.59558768756044,34.01476926500648,172.54970247706095,73.849511825665,(19.49358984852865+0.4556057252429517j),20.50233861549283,(13.482837661841963+0.04062845403685821j),10.78819524724643,0.24856299610161373,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.11506629367291436,495.3896274159352,35.509626568602144,30.504705826023407,28.635193402004152,66.01433239462555
30.319163542377332,0.6614592832813345,-0.602528798391846,2.7322053079786266,0.00017991233339113854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9758058358029899,1126259462.406452,584.8136504334692,258.88823713855993,3.0280926494455995,100.0,IMRPhenomXP,20.0,71.45012439721808,43.00443899901424,28.445685398203832,173.8597156587316,75.75562673154725,(19.326521559959875-2.910768486786048j),20.730148908098293,(13.582034205795157+1.0060344603704643j),10.868075149960063,0.23962035687044123,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1213273707409323,521.5369455612989,38.351368316817656,25.36786859970069,27.03863682765857,63.71923691651835
30.164105800051647,0.5615237434745178,-0.8444212879368282,2.5852569126299882,-0.00019851300186799872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.118083671037892,1126259462.406115,585.9026978220245,259.1735367477966,2.8125664372504664,100.0,IMRPhenomXP,20.0,72.79941530065888,46.620754634620056,26.17866066603883,173.27703751697263,75.48786499601866,(19.493035254683747+0.2738555010533696j),20.23406201179607,(13.473682973523484+0.1407219645333244j),10.751386681441,0.23028780499197343,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.12153690529132684,522.4105358385615,41.568631771872006,23.341773723655347,26.89533055732688,64.91040549552734
