chirp_mass,mass_ratio,a_1,a_2,theta_jn,psi,time_jitter,tilt_1,tilt_2,phi_12,phi_jl,ra,dec,phase,luminosity_distance,geocent_time,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,total_mass,mass_1,mass_2,H1_log_likelihood,L1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,symmetric_mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
15.53410677172596,0.9550606934791532,0.30267103110054205,0.6381650287771636,0.46018677691165705,0.8694007211315382,9.036477533436844e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.7118846373406824,4355.224759917514,1385860007.2224095,-2.4490152495684967,4.5050675877582815,100.0,IMRPhenomXP,20.0,35.69932430354097,18.259957055354523,17.439367248186446,-0.2864084038247472,-0.6183964473899684,(1.5476962801563436+1.0111538067321606j),2.7968965918723665,(2.6675738726568237+0.525194043172048j),3.284743670099461,0.24986790929663888,0.46018677691165705,0,0,0.30267103110054205,0,0,0.6381650287771636,0.0,0.0,0.46656217327727173,0.0,0.0,0.0,1.0,1.0,0.6962653195866813,2567.537461134528,10.764800084342829,10.281037433716909,9.157828431881791,21.045837518059738
14.098901369354374,0.683740541605731,0.6482563574140263,0.7790556078837542,2.962842088071381,0.13309731899259358,-0.0001490838266920805,0.0,0.0,0.0,0.0,0.0,0.0,5.565566113783477,4430.928924283872,1385860007.2996986,-2.277561669585703,3.58964337943316,100.0,IMRPhenomXP,20.0,33.09639386859696,19.656469064428396,13.439924804168568,-0.575313750492576,-1.619487586364837,(1.994920720728488-1.9870596721580205j),2.9003424485779705,(2.882502350285957+0.09747089597042484j),3.425819601703952,0.24117983486633648,2.962842088071381,0,0,0.6482563574140263,0,0,0.7790556078837542,0.0,0.0,0.7013718750058912,0.0,0.0,0.0,1.0,1.0,0.7061692958731556,2597.004254439049,11.520819834217523,7.877251593189937,8.263483233144848,19.39807142740746
16.970515464122013,0.6099592026961063,0.5449681527771179,0.4185050726006514,2.543272120468116,0.34306788834035956,-6.498091811310861e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8884129650728596,4167.36682309039,1385860007.2220461,-2.2316012313545626,4.742716451239148,100.0,IMRPhenomXP,20.0,40.42894477308466,25.11178215285246,15.317162620232198,-0.4755584115148861,-0.3790262187509823,(2.71056175388227-0.5047958490823994j),2.881890353811888,(1.246068432687956-1.1006862643002664j),3.3854948855116658,0.23532661414710276,2.543272120468116,0,0,0.5449681527771179,0,0,0.4185050726006514,0.0,0.0,0.4970555600693313,0.0,0.0,0.0,1.0,1.0,0.6715254110326184,2493.1519396718,15.023272746621991,9.163583466415693,10.152711620242814,24.186856213037686
16.65437236894273,0.506176401494109,0.695141069443719,0.1869823208760223,0.4191943326009928,0.4217067027135962,0.00019664947260752204,0.0,0.0,0.0,0.0,0.0,0.0,6.238011997949936,3604.574271074736,1385860007.164468,-2.190615387938229,4.4178568211932125,100.0,IMRPhenomXP,20.0,40.96360228237962,27.197081458549086,13.76652082383053,-0.5470449372266515,-0.544771087696347,(2.1190159899613894+0.8746600086709537j),3.626967259538722,(2.0732044137572627+0.3203800458496509j),4.256550053219301,0.22312601869838578,0.4191943326009928,0,0,0.695141069443719,0,0,0.1869823208760223,0.0,0.0,0.5243656101531675,0.0,0.0,0.0,1.0,1.0,0.5958843864976234,2258.6687992515526,17.042012371733662,8.626264496542232,10.435826373045057,25.668276868275896
13.785939454216516,0.8408014217876572,0.3765109766914506,0.7108287241117407,2.7948083279963614,0.5863977249200735,0.00021660949432609496,0.0,0.0,0.0,0.0,0.0,0.0,2.039192189086844,4698.16905774591,1385860007.1976843,-2.1836460256546806,4.237561864806191,100.0,IMRPhenomXP,20.0,31.81475870101591,17.283101981809452,14.531656719206461,-0.5158733031285565,-1.1329475319813413,(0.16358009004701354+0.9831594402802111j),2.4795076177131894,(0.24427508475235554-0.9866867209688568j),2.9172071730638574,0.2481301597848767,2.7948083279963614,0,0,0.3765109766914506,0,0,0.7108287241117407,0.0,0.0,0.529213399686565,0.0,0.0,0.0,1.0,1.0,0.7408441327862124,2698.7878814745136,9.928000822306782,8.347477206904571,7.919111880597942,18.275478029211353
15.326820763712465,0.8166719301751559,0.26005129039211106,0.2664362760925245,0.2625601207487096,0.18827244379064065,2.915721479216434e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.48561813453221,4818.611417300113,1385860007.2169268,-2.092570747826567,3.9679469440740007,100.0,IMRPhenomXP,20.0,35.42870747148862,19.50198430603413,15.926723165454494,-0.33457645248597023,-0.7172586073841667,(0.07526208421502346+1.0499121501306954j),2.5570480739361017,(0.5257171387736249-1.251762005808628j),2.991875137878234,0.24745407896737318,0.2625601207487096,0,0,0.26005129039211106,0,0,0.2664362760925245,0.0,0.0,0.26292161524795593,0.0,0.0,0.0,1.0,1.0,0.7563321117272125,2743.565050387867,11.103813553152818,9.068172846758369,8.726607377598853,20.171986399911187
13.512247618485361,0.7372564565042702,0.38819147158100425,0.7367865057088062,2.757141962213802,1.7410133731998525,-8.289928316751775e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.091654055504814,4239.823913404911,1385860007.2978551,-1.9706319871765907,4.336042313252903,100.0,IMRPhenomXP,20.0,31.476987808125827,18.118791667330584,13.358196140795243,-0.5272353798190568,-1.153219585495124,(2.7829576953277897-0.8803085177469634j),2.6546532767762177,(1.3554575165937424+0.71682982154454j),3.1234799317876183,0.244281577424916,2.757141962213802,0,0,0.38819147158100425,0,0,0.7367865057088062,0.0,0.0,0.5361281441740623,0.0,0.0,0.0,1.0,1.0,0.6810957806796233,2522.0596915333385,10.777965107975959,7.946124363833019,8.037761901360975,18.724089471808977
15.849670860639119,0.8638137873364591,0.06108586005580446,0.5626926689501429,0.49335374202250676,2.0021673062712892,-0.00012396502319341764,0.0,0.0,0.0,0.0,0.0,0.0,1.8275981900791454,3654.4049539305242,1385860007.2155821,-1.9671653741744728,4.5693088323829025,100.0,IMRPhenomXP,20.0,36.53012792589177,19.599666111546625,16.93046181434514,0.02822115941243908,-0.17006502349452024,(0.826480251617525+1.3558564815857534j),3.176359911323096,(3.0944717630680634-0.5738827279619165j),3.7165239834484325,0.24866524593178935,0.49335374202250676,0,0,0.06108586005580446,0,0,0.5626926689501429,0.0,0.0,0.2935634177864978,0.0,0.0,0.0,1.0,1.0,0.6026813353851825,2280.1818694227964,12.229297040410167,10.563835392939255,9.889471169781775,22.793132433349424
14.447391007190632,0.761628098215378,0.43717244925459764,0.08882303667095713,0.2769332286988259,2.2845506260567663,2.459111549639383e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.4453401310706937,4830.640516117888,1385860007.2157972,-1.9240804377179823,4.019944598883332,100.0,IMRPhenomXP,20.0,33.561450821398886,19.051382556510312,14.510068264888575,-0.1767291522795773,-0.3907308326158878,(0.6493006963152981-0.18718615131766594j),2.436113035472487,(3.471828900867041-0.8392727982250328j),2.8520822634147844,0.24542257039669216,0.2769332286988259,0,0,0.43717244925459764,0,0,0.08882303667095713,0.0,0.0,0.28656591607696613,0.0,0.0,0.0,1.0,1.0,0.7578743784972863,2748.0009640906005,10.837738344418177,8.254326044215096,8.218670903856589,19.092064388633272
16.969271603037605,0.9611153625487063,0.5050305107815655,0.5803363764554684,2.381094754950334,0.3251033126878622,1.3043226962045583e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.3860932744086587,4918.396525388405,1385860007.2157166,-1.8836636864154532,4.944633856945385,100.0,IMRPhenomXP,20.0,38.99434767277579,19.88376024044701,19.11058743232878,-0.2724398338237366,-0.49267272378291604,(0.5245021390907172+0.8456021657549824j),2.191638571027566,(3.636829085705696-0.4625566861988738j),2.5924988325164473,0.24990171441356854,2.381094754950334,0,0,0.5050305107815655,0,0,0.5803363764554684,0.0,0.0,0.5419368681389184,0.0,0.0,0.0,1.0,1.0,0.7691010389016244,2780.1671115471063,11.23947123607602,10.80242847191696,9.592030771500342,22.04189970799298
